Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64
1991,0.7,0.61,0.56,0.55,0.41,0.29,-0.08,-0.41,-1,-1.09,-1.09,-1.16
1992,-1.08,-1.09,-1.12,-1.19,-1.3,-1.73,-2.23,-1.95,-2.07,-2,-2.06,-2.11
1993,-2.14,-2.2,-2.17,-2.18,-2.15,-1.61,-1.27,-1.4,-0.88,-0.53,-0.59,-0.53
1994,-0.46,-0.44,-0.5,-0.43,-0.41,-0.11,0.56,1.2,0.6,0.53,0.45,0.37
1995,0.43,0.42,0.42,0.35,0.45,-0.04,-0.53,-0.8,-0.5,-0.57,-0.54,-0.6
1996,-0.57,-0.54,-0.45,-0.45,-0.5,0,-0.12,0.35,-0.05,0.02,-0.09,-0.01
1997,0.01,-0.09,-0.16,-0.13,-0.18,-0.44,-0.64,-0.91,-0.94,-1.15,-0.98,-1.01
1998,-1.01,-0.98,-0.93,-0.95,-0.84,-0.72,-0.71,-0.51,0.03,0.55,0.54,0.54
1999,0.61,0.63,0.48,0.37,0.67,0.72,0.54,0.13,-0.08,0.02,-0.08,-0.21
2000,-0.17,-0.18,-0.15,-0.02,-0.1,0.16,0.48,0.57,0.05,-0.54,-0.61,-0.61
2001,-0.58,-0.64,-0.6,-0.59,-0.71,-0.61,-0.78,-1.03,-1.22,-0.63,-0.63,-0.67
2002,-0.6,-0.56,-0.58,-0.61,-0.54,-0.78,-2.45,-1.67,-1.9,-2.13,-2.26,-2.31
2003,-2.33,-2.3,-2.26,-2.33,-2.61,-2.41,-0.97,-1.12,-0.65,-0.3,-0.36,-0.38
2004,-0.28,-0.42,-0.51,-0.33,0.12,0.17,-0.12,0.03,-0.33,-0.5,-0.5,-0.55
2005,-0.5,-0.41,-0.24,-0.38,-0.63,-0.85,-0.14,-0.51,-0.01,0.34,0.43,0.47
2006,0.46,0.39,0.35,0.3,0.56,0.87,0.52,1.1,0.96,0.33,0.42,0.37
2007,0.4,0.6,0.55,0.61,0.4,0.69,0.92,0.78,1.2,1.19,1.08,1.12
2008,1.28,1.13,1.27,1.18,1.04,1.05,0.79,0.73,0.23,0.11,0.23,0.17
2009,0.22,0.23,0.13,0.14,0.3,-0.64,-0.39,-0.74,-0.99,-0.79,-0.7,-0.71
2010,-0.73,-0.69,-0.71,-0.55,-0.42,0.05,0.41,1.05,1.78,1.81,1.99,2.04
2011,2.13,2.19,2.2,2.25,2.11,2.17,2,1.79,1.78,1.3,1.06,0.96
2012,1.12,1.06,1.05,1.15,0.92,0.44,0.63,0.32,0.3,0.5,0.58,0.59
2013,0.59,0.76,0.81,0.62,0.88,2,2.4,1.72,1.35,1.73,1.72,1.69
2014,1.82,1.78,1.86,1.83,1.85,0.37,0.11,-0.07,0.12,-0.49,-0.49,-0.49
2015,-0.49,-0.53,-0.38,-0.1,-0.15,0.56,0.39,0.12,-0.4,-0.57,-0.4,-0.41
2016,-0.41,-0.48,-0.61,-0.84,-0.69,-0.78,0.08,0.39,0.81,0.79,0.57,0.53
2017,0.65,0.65,0.62,0.66,0.56,0.78,0.52,0.44,0.36,0.73,0.83,0.81
2018,0.8,0.85,0.8,0.84,0.86,0.73,0.74,0.87,0.55,0.03,0.01,0
2019,0.13,0.25,0.27,0.24,0.1,-0.32,-0.66,-0.41,0.95,1.37,1.49,1.51
